channel,depth_m,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1308,411.2,1.2175,1.2704,1.1918,1.1719,1.2179,1.1870,1.1772,1.3099,1.2869,1.2017,1.2592,1.6766,1.2500,1.2542,1.3471,1.4101,1.3039,1.2606,1.3220,1.3476,1.2462,1.1683,1.2550,1.2206
1309,415.4,1.1946,1.2782,1.2007,1.2157,1.2770,1.2117,1.1976,1.2906,1.2456,1.1635,1.2178,1.7460,1.1976,1.2052,1.3041,1.4080,1.3069,1.1790,1.3544,1.3754,1.2419,1.1568,1.2503,1.2101
1310,419.5,1.3365,1.3936,1.3428,1.1901,1.2038,1.1738,1.3241,1.3901,1.3852,1.3263,1.3403,1.7853,1.3495,1.3454,1.4160,1.4899,1.3925,1.3080,1.4113,1.4550,1.3716,1.3036,1.3251,1.2898
1311,423.6,1.2843,1.3306,1.3438,1.2680,1.2614,1.2387,1.3290,1.3481,1.3619,1.3389,1.3435,1.7991,1.3616,1.3777,1.4225,1.4871,1.4303,1.3256,1.4533,1.4870,1.3687,1.3057,1.3225,1.2824
1312,427.7,1.1767,1.2480,1.1958,1.1950,1.2561,1.1993,1.1960,1.2481,1.2450,1.1726,1.2062,1.7149,1.1959,1.1976,1.2531,1.3711,1.2695,1.1718,1.2749,1.3398,1.2380,1.1640,1.2097,1.1652
1313,431.8,1.2224,1.2543,1.1238,1.1761,1.2219,1.1958,1.1683,1.2845,1.2957,1.2034,1.2538,1.6761,1.1736,1.1876,1.2840,1.3928,1.2999,1.2103,1.3113,1.3622,1.2694,1.1793,1.2235,1.2056
1314,435.9,1.2689,1.2822,1.1228,1.1564,1.1952,1.1744,1.1258,1.2479,1.3318,1.2602,1.2918,1.5889,1.1646,1.1975,1.2656,1.3357,1.2650,1.1596,1.2316,1.2998,1.2606,1.2508,1.2615,1.2565
1315,440.0,1.2362,1.3204,1.3093,1.3329,1.3106,1.2709,1.2431,1.3264,1.3467,1.2699,1.3280,1.7163,1.3149,1.3158,1.4010,1.4998,1.3839,1.2849,1.3508,1.4579,1.3921,1.2253,1.3508,1.2662
1316,444.1,1.3698,1.4497,1.3982,1.3670,1.3609,1.2932,1.4091,1.4589,1.4474,1.3503,1.4094,1.8364,1.3677,1.4142,1.5268,1.5952,1.4963,1.3533,1.5585,1.5433,1.3663,1.3429,1.4221,1.3874
1317,448.3,1.5574,1.5545,1.4963,1.4583,1.3944,1.3881,1.4788,1.4746,1.6758,1.4694,1.5128,1.9117,1.4607,1.4701,1.5531,1.6779,1.5662,1.5904,1.5374,1.6550,1.5556,1.4294,1.5118,1.5279
1318,452.4,1.4923,1.4728,1.2776,1.2663,1.3123,1.2520,1.2716,1.4332,1.4157,1.4095,1.3909,1.9398,1.4571,1.3939,1.3821,1.5650,1.5464,1.3442,1.3976,1.6474,1.5600,1.4581,1.4021,1.3662
1319,456.5,1.3271,1.4361,1.3913,1.2827,1.2820,1.2314,1.3619,1.4466,1.3812,1.3100,1.3534,1.8719,1.4321,1.4378,1.4264,1.5715,1.5008,1.3500,1.4758,1.5578,1.3883,1.3053,1.3669,1.3659
1320,460.6,1.3798,1.4875,1.3545,1.3925,1.3968,1.3828,1.3991,1.6258,1.3735,1.3285,1.4899,1.8733,1.6132,1.6746,1.6453,1.6999,1.6114,1.6434,1.6009,1.6370,1.4703,1.3190,1.4735,1.4376
1321,464.7,1.3100,1.4234,1.3600,1.2927,1.4128,1.2946,1.3078,1.4210,1.3554,1.2970,1.3521,1.8610,1.3579,1.3844,1.3936,1.5533,1.4729,1.3566,1.4416,1.5441,1.3246,1.2578,1.3207,1.2646
1322,468.8,1.3933,1.4793,1.4799,1.3804,1.3325,1.3377,1.4379,1.4459,1.4577,1.3273,1.3722,1.8680,1.4255,1.4212,1.4458,1.5724,1.4979,1.3526,1.4641,1.6061,1.3692,1.2898,1.3880,1.3557
1323,472.9,1.3265,1.4041,1.2993,1.3291,1.3495,1.3075,1.2816,1.3713,1.3723,1.2946,1.3084,1.9057,1.3226,1.3174,1.3491,1.5450,1.4140,1.2827,1.3772,1.5610,1.3359,1.2584,1.3031,1.2544
1324,477.0,1.3574,1.4449,1.4249,1.3976,1.4767,1.3777,1.4197,1.4502,1.4046,1.3059,1.3524,1.8784,1.4881,1.4306,1.3767,1.5396,1.4704,1.3085,1.4063,1.5678,1.3558,1.3049,1.3527,1.3125
1325,481.2,1.2482,1.3375,1.3253,1.3797,1.4558,1.3913,1.3504,1.4091,1.2888,1.2247,1.2922,1.8679,1.4415,1.4376,1.3434,1.5042,1.4316,1.2382,1.3679,1.5113,1.2418,1.1708,1.2565,1.2139
1326,485.3,1.3549,1.4053,1.2698,1.4032,1.4471,1.4259,1.2736,1.3590,1.4031,1.3034,1.3099,1.8826,1.3153,1.2894,1.3406,1.5157,1.4625,1.2998,1.3374,1.5262,1.2884,1.2600,1.2833,1.3189
1327,489.4,1.4672,1.5348,1.4321,1.3190,1.2854,1.2828,1.4322,1.4694,1.4456,1.4740,1.4554,1.9270,1.5929,1.5677,1.5461,1.6453,1.5901,1.5407,1.5427,1.6100,1.3725,1.3528,1.4523,1.4326
1328,493.5,1.5843,1.6105,1.3925,1.3583,1.4268,1.3813,1.3415,1.5962,1.5531,1.4940,1.5321,2.0980,1.5129,1.5520,1.6063,1.7556,1.7046,1.4328,1.6370,1.7999,1.5415,1.4955,1.5946,1.5309
1329,497.6,1.7684,1.7845,1.4659,1.4490,1.4644,1.4244,1.4685,1.6323,1.7107,1.7336,1.7241,2.1970,1.5790,1.6263,1.6951,1.8249,1.7817,1.5316,1.6468,1.9059,1.7108,1.6958,1.6788,1.6918
